RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
S,FRASSA,ecole maternelle du collège Voltaire,Allemagne,10000,185-02,Coopération culturelle et promotion du français,2012
AN,GARRAUD,ADM-Vietnam,,1000,209-02,Développement - Coopération bilatérale,2012
AN,GARRAUD,AGIR abcd,,1000,209-02,Développement - Coopération bilatérale,2012
S,GARRIAUD-MAYLAM,Lycée français Victor Hugo Francfort,Allemagne,12000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Alliance française de Sucre,Bolivie,3000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Lycée français St Exupéry ouagadougou,Burkina-Fasso,3000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Société d'entraide des membres de la Légion d'honneur (comité sud/est Espagne),Espagne,10000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Ecole Jules Verne Helsinki,Finlande,8000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Alliance française d'Ahmedabad,Inde,45300,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Alliance française de Bombay,inde,3000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Ecole Montesquieu de Vilnius,Lituanie,4000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Alliance française d'El Obeid,Soudan,3000,185-02,Coopération culturelle et promotion du français,2012
S,GARRIAUD-MAYLAM,Dispensaire français de Londres,Gde-Bretagne,8700,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,GARRIAUD-MAYLAM,Association internationale de Santé,Burkina-Fasso,12000,209-02,Développement - Coopération bilatérale,2012
S,GARRIAUD-MAYLAM,Association Haïtienne d'Aide aux Familles Démunies,Haïti,11000,209-02,Développement - Coopération bilatérale,2012
S,GARRIAUD-MAYLAM,Association Sénégalaise pour la protection des Enfants Déficients Mentaux,Sénégal,4000,209-02,Développement - Coopération bilatérale,2012
S,GARRIAUD-MAYLAM,"Association ""Les compagnons Bâtisseurs d'Espoir""",,3000,209-02,Développement - Coopération bilatérale,2012
AN,GAUBERT,Association Armor Mekong - Le Laos,,5000,209-05,Développement - Coopération multilatérale,2012
AN,GAYMARD,PI-SOLEIL,,4000,209-02,Développement - Coopération bilatérale,2012
AN,GERARD,Association des amis des Pierres Blancs,,1500,209-02,Développement - Coopération bilatérale,2012
AN,GERARD,CAP Santé France,,1500,209-02,Développement - Coopération bilatérale,2012
AN,GERARD,Marcq Tiers-Monde,,1500,209-02,Développement - Coopération bilatérale,2012
AN,GISCARD D'ESTAING Louis,Les Anciens at Amis de la Casamance,,1500,209-02,Développement - Coopération bilatérale,2012
AN,GISCARD D'ESTAING Louis,ARCADE Chamalières,,1500,209-02,Développement - Coopération bilatérale,2012
AN,GISCARD D'ESTAING Louis,France BAOBAS,,2000,209-02,Développement - Coopération bilatérale,2012
AN,GISCARD D'ESTAING Valery,Institut pour la Démocratie en europe,,90000,105-02,Action européenne,2012
AN,GIULIANI,Fondation Robert Schuman,,90000,105-02,Action européenne,2012
AN,GOT,Association AGIRabcd délégation départementale Aquitaine,,1300,209-05,Développement - Coopération multilatérale,2012
AN,GOUJON,AMAD et Développement,,1000,209-02,Développement - Coopération bilatérale,2012
AN,GOUJON,Assolampe Bolingo,,1000,209-02,Développement - Coopération bilatérale,2012
AN,GOUJON,Un toit Un lit pour des orphelins en Inde du Sud,,1000,209-02,Développement - Coopération bilatérale,2012
AN,GROMMERCH,MACINA,,2000,209-02,Développement - Coopération bilatérale,2012
AN,GROSPERRIN,4LTEAM,,1000,209-02,Développement - Coopération bilatérale,2012
AN,GROSPERRIN,Arco Iris,,1000,209-02,Développement - Coopération bilatérale,2012
AN,HAVARD,Emergence Sud,,1000,209-02,Développement - Coopération bilatérale,2012
AN,HUE,Fondation Gabriel Péri,,130000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2012
AN,ISSINDOU,Association France-Russie,,1000,209-05,Développement - Coopération multilatérale,2012
AN,ISSINDOU,Association EYBENS-VAMA ,Roumanie,2000,209-05,Développement - Coopération multilatérale,2012
AN,JACOB,Forum Francophone des Affaires,,25000,185-02,Coopération culturelle et promotion du français,2012
AN,JACOB,4L Brothers 2012,,1000,209-02,Développement - Coopération bilatérale,2012
AN,JACOB,Les Gazelles de Brie,,5000,209-02,Développement - Coopération bilatérale,2012
AN,JACOB,L'envol à 4L,,2000,209-02,Développement - Coopération bilatérale,2012
AN,JACOB,ASEFS,Shangaï,5000,209-02,Développement - Coopération bilatérale,2012
AN,JARDE,Association solidarité Ecologie Afrique madagascar,,5000,209-02,Développement - Coopération bilatérale,2012
AN,JARDE,Association Caire Cœur ,,3000,209-02,Développement - Coopération bilatérale,2012
